"","SOURCEID","pscs","X","Y","CLYPPT","CLYPPT.sd","SOURCEDB","DEPTH"
"2654","S1975NV031004","LOAMY-SKELETAL",6341412.169788,3729107.49728687,20,8,"NASIS",NA
"2655","S1975NV031005","LOAMY-SKELETAL",6341548.49483915,3728513.53646568,20,8,"NASIS",NA
"2656","S1975NV031006","LOAMY-SKELETAL",6345778.17531626,3762362.2940498,20,8,"NASIS",NA
"2657","S1975NV031007","LOAMY-SKELETAL",6351242.33300937,3741168.36091931,20,8,"NASIS",NA
"2658","S1975NV031009","LOAMY-SKELETAL",6350142.4030819,3747937.01534678,20,8,"NASIS",NA
"2659","S1975NV031010","LOAMY-SKELETAL",6381431.43314963,3782398.55115499,20,8,"NASIS",NA
"2660","S1978NV031006","LOAMY-SKELETAL",6399622.70213944,3797026.16113085,20,8,"NASIS",NA
"2661","S1975NV031008","LOAMY-SKELETAL",6349474.37426535,3742578.12125561,20,8,"NASIS",NA
"2662","S1969NV019002","COARSE-LOAMY",6369721.75679737,3727425.82825423,10,8,"NASIS",NA
"2663","S1969NV019003","SANDY",6386043.28492969,3726039.80396479,6,6,"NASIS",NA
"2664","S1969NV019004","SANDY",6387854.18026042,3725961.35655516,6,6,"NASIS",NA
"2665","S1969NV019005","SANDY",6377841.30319444,3674286.32418136,6,6,"NASIS",NA
"2666","S1975NV031001","LOAMY-SKELETAL",6341287.26662872,3751912.825879,20,8,"NASIS",NA
"2667","S1975NV031011","COARSE-LOAMY",6354416.81476811,3791823.74708416,10,8,"NASIS",NA
"2668","S1975NV031012","FINE-LOAMY",6353555.52234927,3779168.94062279,27,6,"NASIS",NA
"2669","S1975NV031013","CLAYEY-SKELETAL",6354365.00807721,3772516.32898886,64,16,"NASIS",NA
"2670","S1975NV031014","LOAMY-SKELETAL",6357582.41923522,3771675.3528466,20,8,"NASIS",NA
"2671","S1975NV031015","FINE",6360158.16788545,3767908.26730101,48,9,"NASIS",NA
"2672","S1975NV031016","FINE",6363367.70707996,3766943.50830906,48,9,"NASIS",NA
"2673","S1978NV031008","LOAMY-SKELETAL",6378108.82348012,3794211.48234618,20,8,"NASIS",NA
"2674","S1979NV031001","SANDY",6339687.56604468,3725367.71973834,6,6,"NASIS",NA
"2675","S1979NV031002","SANDY",6340974.85114408,3726637.64635055,6,6,"NASIS",NA
"2676","S1979NV031003","PSAMMENTS",6343489.61437485,3726172.93255777,4,8,"NASIS",NA
"2677","S1979NV031004","SANDY",6345296.48945443,3729855.52165264,6,6,"NASIS",NA
"2678","S1979NV031005","SANDY",6340153.33454347,3729141.57964806,6,6,"NASIS",NA
"2679","S1979NV031006","SANDY",6340428.29092479,3729729.40964365,6,6,"NASIS",NA
